TreeID	X	Y	SpecID
2027420	680.049	321.323	25
2028328	802.884	79.8429	5
1955837	789.998	451.631	21
2014097	272.803	0.736203	10
2008898	704.167	307.128	31
2019714	320.534	479.644	44
2024019	431.399	93.3968	9
2004518	652.574	370.319	35
2024238	737.878	473.53	17
2002610	631.384	92.9003	12
1989703	444.683	276.446	0
2023395	524.379	359.829	35
2025432	49.9739	342.746	5
2011244	288.356	459.511	2
2031997	423.753	455.279	18
2029198	443.699	61.3066	5
2022262	153.016	197.943	50
2027909	896.617	297.306	45
1980641	131.091	110.84	5
1962800	31.4804	483.035	109
2028592	947.965	17.3749	154
2010587	972.46	289.753	1
2020380	692.525	362.352	4
2031284	770.119	162.579	14
2032187	458.121	5.00718	12
2026986	158.382	66.5428	12
2010488	865.123	90.6571	18
2027157	370.333	492.767	100
2023904	469.311	144.948	5
2032026	112.706	498.271	78
1974049	702.755	190.961	73
1999830	253.666	12.6335	36
2026037	203.941	87.7889	18
2027610	603.876	166.049	39
2026687	914.548	177.323	5
2002344	817.603	351.703	17
2030836	589.611	206.42	27
2023158	939.275	197.41	12
1990020	747.531	287.285	5
1991743	213.785	28.7557	55
2017324	102.184	361.205	6
2011989	321.922	418.843	12
2015335	936.252	332.439	5
2017543	694.927	170.798	18
2025988	781.826	25.6153	26
1990264	189.262	126.095	75
2020369	812.387	329.852	15
2030589	191.065	157.374	76
2017437	678.456	4.13854	9
2019064	792.921	31.119	37
2027034	859.552	129.146	55
2031845	665.829	244.587	1
2010458	819.705	74.5452	17
2005009	463.516	169.336	21
2014799	227.815	439.333	16
2030357	463.27	46.2482	32
2003417	604.756	459.497	31
2016491	400.87	242.402	31
2031308	925.227	233.379	12
2024829	550.441	327.317	12
1987383	684.511	159.185	37
2010962	789.333	135.805	5
1988977	832.564	270.474	36
2012666	643.615	354.59	19
2025645	880.722	9.01932	42
2015745	241.047	41.0929	18
2028495	812.693	379.533	5
2013092	881.395	3.95791	24
2026655	745.83	150.451	1
2010619	534.908	465.369	18
2007875	735.93	405.388	40
2018926	582.921	150.67	11
2032228	495.618	268.654	31
2028689	88.6255	402.269	9
2016186	331.879	146.27	35
2030628	793.944	422.861	5
1993777	845.071	28.0278	35
1961434	198.731	492.257	1
2025136	152.724	136.396	5
2026711	530.642	6.81935	26
2025261	621.704	196.302	124
2013241	639.62	213.094	29
2009536	190.091	187.184	0
1999815	228.502	401.887	1
1995806	704.434	155.771	18
1950333	649.56	263.519	5
2005741	571.148	14.2291	14
2016418	8.9931	321.48	25
2026000	215.836	254.142	18
2015121	253.576	353.724	31
2027116	488.888	25.7322	5
1990229	83.048	170.044	4
2000535	454.587	453.521	31
1979920	298.435	348.581	61
1996873	832.346	158.083	18
2001579	291.561	144.064	33
1959911	120.175	208.431	4
1989707	294.388	428.091	6
1982638	401.905	296.706	6
