TreeID	X	Y	SpecID
1882176	741.934	491.792	100
1892116	93.0728	332.333	16
1877257	671.264	260.458	6
1889549	991.161	450.842	5
1842260	327.904	9.91845	5
1820206	819.141	320.822	69
1849359	7.60697	222.895	59
1876331	993.449	482.964	59
1875896	809.021	46.2753	4
1890780	249.085	333.91	8
1869030	646.399	309.273	55
1859949	597.376	36.2973	11
1851345	144.842	249.357	17
1858306	359.125	286.102	134
1861697	558.52	374.336	89
1891328	732.121	138.019	12
1873217	145.722	466.464	39
1861295	196.72	439.043	128
1890959	566.789	1.46836	5
1862767	266.978	186.441	0
1872820	801.101	88.6088	9
1890282	468.504	37.4264	17
1845051	854.129	346.132	5
1891075	372.888	321.526	37
1867603	34.9427	133.738	5
1851611	587.33	423.657	58
1835909	767.718	232.435	16
1882331	237.095	497.972	69
1849967	97.657	439.058	5
1833446	896.263	259.936	5
1888438	249.068	166.172	22
1877466	705.122	470.259	37
1884461	413.701	434.805	59
1881205	446.068	132.949	25
1852996	112.461	287.152	12
1850304	710.869	331.433	1
1866367	444.516	280.937	55
1868320	710.114	302.608	150
1851615	224.913	139.488	12
1891529	52.354	71.0337	36
1869250	18.9899	488.19	57
1861534	26.2467	173.114	34
1889888	125.939	169.524	1
1821009	758.205	202.096	5
1892936	846.98	68.6868	14
1875956	125.619	182.748	31
1871849	2.48185	476.941	23
1870817	755.458	165.114	43
1887838	416.986	121.332	36
1886339	360.182	331.327	5
1839454	780.216	24.8348	9
1879356	113.153	380.473	6
1799454	567.439	148.784	35
1855235	273.486	105.68	18
1892695	448.538	156.464	85
1881514	314.479	186.262	3
1842943	63.7038	56.7213	5
1874058	249.551	476.3	9
1874516	719.029	116.232	12
1886910	545.714	198.18	5
1886634	335.967	442.345	18
1884237	843.234	391.715	3
1857312	102.749	150.293	79
1889214	962.594	489.634	11
1891155	708.785	252.964	31
1839897	619.639	201.546	12
1863869	91.3348	361.979	18
1889835	949.174	371.503	10
1821552	129.171	295.157	37
1890317	307.854	173.081	17
1886732	270.208	418.857	59
1859876	775.796	336.193	1
1870865	623.708	63.4379	13
1886578	214.353	366.85	12
1867817	194.017	193.264	13
1886991	366.481	263.791	5
1859443	227.564	111.705	39
