TreeID	X	Y	SpecID
1913481	594.111	295.616	54
1909877	139.04	240.753	59
1933442	599.415	451.429	5
1935899	705.842	215.897	30
1902387	971.473	410.578	5
1902426	454.654	298.262	12
1932437	158.335	94.5833	128
1876331	993.449	482.964	59
1923935	670.872	471.397	10
1934808	954.882	498.203	5
1928554	804.87	213.205	57
1924685	389.645	306.014	57
1922734	768.656	497.853	57
1914430	142.86	426.727	5
1909215	576.431	58.1184	16
1918321	331.125	235.71	17
1908238	257.504	23.6044	55
1935302	968.775	216.956	18
1890959	566.789	1.46836	5
1932053	951.912	121.077	32
1934769	502.206	247.057	1
1935776	608.504	293.419	2
1929087	4.06922	230.909	63
1935589	822.421	183.143	120
1924849	849.619	283.008	31
1936832	534.735	445.371	18
1922798	856.326	485.57	79
1907687	458.448	98.6273	66
1928838	964.776	45.827	9
1939651	861.815	69.3124	5
1932409	31.3802	234.942	13
1934307	321.456	495.286	59
1939707	482.733	384.019	59
1916418	361.221	112.423	138
1852996	112.461	287.152	12
1939811	235.34	92.2159	44
1908752	633.99	364.339	100
1939239	397.474	128.159	54
1929999	412.472	269.709	13
1931838	470.003	91.3168	5
1905590	997.513	402.669	57
1861534	26.2467	173.114	34
1935628	845.916	276.925	31
1931605	289.739	301.138	54
1921110	681.03	287.67	84
1933203	940.304	486.585	29
1923298	70.0423	352.768	5
1922754	536.004	314.072	18
1916803	758.762	193.027	8
1932887	402.168	44.5643	21
1904978	55.6032	340.504	10
1901841	424.943	220.029	54
1799454	567.439	148.784	35
1921239	428.206	463.569	11
1937742	458.502	302.254	25
1881514	314.479	186.262	3
1917161	824.582	369.367	29
1905859	299.302	371.657	97
1932497	598.113	32.2427	6
1939467	758.667	71.2431	31
1919711	866.195	373.258	5
1931988	266.225	154.307	12
1857312	102.749	150.293	79
1927819	286.462	465.988	33
1926667	275.9	405.789	45
1930981	820.626	410.904	0
1918441	16.1098	440.834	57
1909602	639.614	364.834	5
1936732	321.577	272.672	126
1937577	915.248	394.626	63
1917340	629.623	361.421	50
1926242	899.745	294.648	8
1938543	258.974	424.548	9
1922547	848.871	422.221	9
1867817	194.017	193.264	13
1925712	6.40452	247.518	39
1934766	681.013	376.167	11
1929823	487.322	444.504	14
1936429	765.449	59.9649	88
1938252	625.936	446.655	5
1937400	893.579	375.889	39
1927035	289.656	11.5016	88
1904833	249.558	81.4701	73
1938462	543.162	338.682	71
1908825	670.499	76.7188	5
1890294	213.193	364.095	114
1897359	474.324	388.437	101
1939664	861.257	276.3	59
1920793	365.112	493.342	35
1930299	837.994	446.686	33
1933206	192.124	185.897	13
1902743	355.563	323.967	42
1937867	523.961	395.957	1
1936928	857.891	490.045	5
1933186	565.672	414.047	49
1927522	771.134	374.221	33
1937700	896.181	128.881	6
1926464	661.703	472.396	12
1938202	719.219	354.506	10
1886547	914.076	371.526	10
1927643	978.74	62.7691	24
1931533	158.753	108.787	59
1903197	918.362	368.274	39
1933095	589.104	250.003	161
1933309	332.046	259.841	45
1936234	9.76315	475.054	9
1923579	955.64	30.9663	60
1929142	621.494	50.1777	13
1898573	807.001	243.013	12
1939658	967.781	498.442	5
1930914	199.247	46.3595	5
1926739	734.966	367.954	6
1927146	402.07	368.897	5
1899680	199.445	434.237	2
1937958	247.79	334.903	61
1916629	83.5094	39.7542	14
1935441	929.212	298.501	5
1938558	258.696	267.732	18
1909539	247.772	448.802	29
1894528	745.604	287.885	23
1929450	136.059	437.174	46
1933401	207.047	484.816	30
1938339	454.419	422.58	108
1902333	139.715	257.011	63
1937165	114.624	217.006	5
1931858	104.25	459.948	29
1932129	259.009	441.26	16
1912354	967.826	335.673	5
1917844	773.416	179.901	88
1873141	212.916	96.3175	149
1921606	172.915	121.807	5
1917266	232.094	313.378	22
1924634	276.183	297.612	5
1939689	596.356	178.374	5
1939006	394.432	340.862	10
1882747	5.72027	333.751	5
1890244	948.423	490.604	103
1930146	459.387	59.8825	5
1896544	796.15	166.299	14
1927603	101.195	383.443	5
1911231	39.4337	348.315	12
1924987	459.342	256.01	59
1927512	438.743	253.558	49
1929740	532.86	455.684	1
1935220	942.733	476.512	59
1920600	763.855	169.786	61
1937459	245.034	119.365	5
1924982	158.64	207.72	6
1904358	118.419	197.281	5
1915216	699.228	72.0055	59
1889779	707.05	77.8505	17
1933948	801.936	130.889	39
1932006	107.803	394.098	31
1914785	471.444	191.918	45
1929645	226.652	432.165	124
1936967	441.736	322.859	2
1923206	199.156	59.185	68
1938428	505.336	340.991	35
1908421	600.198	346.702	8
1921048	457.243	99.2257	0
1932275	935.831	352.131	37
1937688	210.141	120.03	212
1911763	75.1842	238.841	16
1919439	111.168	395.258	94
1929551	243.481	273.797	11
1936381	937.348	191.093	16
1936527	453.68	426.095	75
1924921	271.365	358.263	59
1929194	924.958	140.461	14
1939818	338.414	73.9888	27
1937287	652.048	4.10013	73
1905200	270.685	153.727	12
1900543	515.559	492.113	13
1930734	625.486	140.975	41
1939074	475.096	279.837	46
1937863	723.117	330.148	0
1915625	410.981	42.0498	59
1939550	563.795	493.708	179
1926372	958.928	369.062	35
1924233	859.812	146.683	31
1924501	24.723	200.67	218
1919595	554.783	498.084	12
1868443	404.062	246.35	6
1939712	84.4152	79.0399	30
1935186	986.104	323.491	31
1915819	556.412	74.6067	17
1925424	736.575	75.8629	12
1877203	110.374	103.837	20
1929586	867.642	22.7868	16
1931545	8.87812	123.09	35
1931161	920.546	11.2163	77
1930903	171.612	385.036	10
1935141	926.269	171.601	8
1900702	842.213	296.013	101
1928392	933.082	479.938	78
1933363	859.626	382.164	14
1935381	920.847	454.364	29
1925647	528.808	345.153	8
1935506	600.042	236.48	59
1932255	965.685	368.33	98
1923038	487.123	91.1253	16
1926595	377.429	228.299	39
1922263	863.139	133.729	1
1934568	921.711	224.912	52
1938779	94.1322	474.255	5
1920878	885.218	47.23	12
1930361	870.721	189.646	5
1852568	966.002	356.374	54
1932408	471.197	206.527	25
1914862	716.289	211.013	0
1913784	794.482	429.271	45
1936642	884.092	431.391	4
1916453	427.009	402.866	6
1896884	504.387	276.38	5
1937326	41.9071	302.595	73
1918666	388.429	164.216	64
1913421	583.789	277.69	105
1900283	372.592	108.343	5
1914032	288.069	360.856	4
1907114	656.318	69.0062	5
1934793	432.525	354.276	12
1934913	413.611	13.5283	14
1919889	791.747	279.208	4
1899552	821.319	421.027	9
1937599	351.678	276.1	49
1915661	811.269	164.697	5
1909502	636.773	1.49196	17
1938115	443.152	456.511	18
1930772	754.688	357.552	55
1928896	95.8864	381.835	31
1939568	581.345	143.777	25
1938544	867.758	185.036	13
1883547	357.92	401.244	50
1923166	131.758	61.3434	9
1927999	550.662	199.395	5
1915868	614.478	4.97567	37
1908490	999.57	139.757	69
1930821	846.966	342.02	61
1899224	877.758	13.2383	12
1932801	149.928	7.24699	55
1922129	282.362	25.8929	57
1866712	809.614	40.5093	133
1938774	961.123	97.5966	94
