TreeID	X	Y	SpecID
2067424	908.336	187.942	5
2064524	880.478	10.773	25
2065774	325.785	396.975	57
2042736	798.359	464.22	9
2058734	741.378	107.054	18
2019714	320.534	479.644	44
2069505	724.63	41.8885	4
2056839	977.283	332.956	14
2071275	882.769	21.09	16
2060000	365.833	410.126	27
2055371	827.729	353.291	14
2073065	118.634	320.682	4
2064674	959.227	482.18	1
2073848	707.992	315.889	6
2074575	885.166	75.0519	5
2046341	540.671	31.1571	130
2059357	942.361	460.172	151
2039505	400.641	271.18	97
1980641	131.091	110.84	5
2049474	781.875	140.085	20
2069706	293.415	443.244	68
2077056	977.919	428.653	12
2074932	970.21	304.456	122
2031284	770.119	162.579	14
2075918	245.042	52.2612	26
2073484	752.679	370.412	13
2038075	347.64	175.01	5
2065968	633.267	377.374	31
2076674	334.468	424.517	0
2064188	33.8093	33.5348	1
2066269	336.701	222.621	0
2073591	216.145	243.425	1
2073419	199.961	287.978	27
2063533	26.8163	264.904	84
2026687	914.548	177.323	5
2064532	244.751	476.034	10
2046413	421.888	47.5668	192
2073222	227.477	288.864	124
2069604	82.3959	306.049	31
2045277	413.438	249.041	71
2052950	804.839	388.805	12
2071319	307.234	172.096	17
2075737	922.288	346.399	1
2034970	28.3396	363.639	40
2061545	328.313	78.4033	4
2062330	864.936	49.76	39
2073458	870.858	35.164	59
2070407	738.592	175.506	149
2078032	151.189	197.633	12
2058655	123.917	16.0333	128
2076234	679.214	384.809	17
2043175	32.0907	190.486	54
2038147	316.378	91.8919	57
2064307	867.223	356.992	14
2061782	416.966	176.152	5
2050673	995.997	84.7294	16
2003417	604.756	459.497	31
2050753	359.015	87.6734	66
2065197	908.608	33.8978	5
2054352	810.685	238.317	13
2056931	632.401	24.5531	161
2037929	487.738	467.151	33
2061053	100.005	239.335	31
2056169	664.695	265.004	14
2058899	911.313	137.289	13
2058573	194.875	374.93	35
2039959	421.186	148.065	5
2067268	498.439	117.857	14
2078384	386.71	429.745	18
2039169	559.226	365.576	12
2079397	398.415	106.357	61
2078761	368.295	470.07	5
2077723	436.88	287.245	5
2071531	721.871	405.104	5
2073110	41.2177	78.147	128
2067431	303.326	132.771	39
2071286	606.084	277.854	59
2057960	149.745	46.6882	5
2069045	206.449	383.593	5
2078947	468.43	298.232	59
2060495	0.633977	468.304	134
2075188	869.642	309.968	49
2079242	350.579	348.935	18
2073175	567.473	91.5322	14
2064274	675.254	482.952	9
2062768	452.912	182.102	65
2074191	265.578	111.198	8
2040456	949.887	140.303	3
2068218	300.431	243.96	59
2070704	287.466	368.582	14
2076074	621.538	333.849	18
1990229	83.048	170.044	4
2066253	325.145	396.053	37
2073952	27.7608	287.443	75
2075432	778.163	207.811	31
2071501	938.444	322.39	43
1959911	120.175	208.431	4
2073856	727.296	75.3605	42
1982638	401.905	296.706	6
2054990	112.12	317.363	5
2075234	721.919	134.519	5
2031274	15.2044	268.194	11
2079031	659.42	167.253	41
2009401	248.339	375.775	12
2048387	675.647	167.685	5
2071127	257.841	498.334	40
2052680	31.9739	161.855	66
2067537	605.436	261.515	31
2071911	812.199	69.4183	18
2073686	230.235	13.2667	12
2049282	787.835	492.52	15
2079268	278.925	311.727	114
