SpecID	MetaRelAbund	muDisp	sigmaDisp	trait	CNDD	LocalAbund	Kcon10	Kcon50
0	0.00343499	3.68888	0	0.621444	1	0	0	0
1	0.00251037	3.68888	0	0.83941	1	0	0	0
2	0.00270754	3.68888	0	0.782339	1	0	0	0
3	0.00327742	3.68888	0	0.905094	1	0	0	0
4	0.00168842	3.68888	0	0.0226517	1	0	0	0
5	0.00150061	3.68888	0	0.350976	1	0	0	0
6	0.00474965	3.68888	0	0.859102	1	0	0	0
7	0.00295987	3.68888	0	0.552959	1	0	0	0
8	0.00367425	3.68888	0	0.777546	1	0	0	0
9	0.00105088	3.68888	0	0.297807	1	0	0	0
10	0.00294335	3.68888	0	0.267162	1	0	0	0
11	0.00583877	3.68888	0	0.680472	1	0	0	0
12	0.00134282	3.68888	0	0.843521	1	0	0	0
13	0.00413428	3.68888	0	0.927617	1	0	0	0
14	0.00293219	3.68888	0	0.856065	1	0	0	0
15	0.000975493	3.68888	0	0.739177	1	0	0	0
16	0.00176379	3.68888	0	0.242976	1	0	0	0
17	0.000235545	3.68888	0	0.0802283	1	0	0	0
18	0.00250374	3.68888	0	0.769444	1	0	0	0
19	0.00137032	3.68888	0	0.535355	1	0	0	0
20	0.00699394	3.68888	0	0.721231	1	0	0	0
21	0.00090254	3.68888	0	0.630096	1	0	0	0
22	0.00296098	3.68888	0	0.294815	1	0	0	0
23	0.00360554	3.68888	0	0.662148	1	0	0	0
24	0.00118038	3.68888	0	0.36213	1	0	0	0
25	0.00112074	3.68888	0	0.569399	1	0	0	0
26	0.000808497	3.68888	0	0.898047	1	0	0	0
27	0.00240057	3.68888	0	0.0198927	1	0	0	0
28	0.000898113	3.68888	0	0.87699	1	0	0	0
29	0.00138116	3.68888	0	0.498428	1	0	0	0
30	0.000602042	3.68888	0	0.0389048	1	0	0	0
31	0.00332316	3.68888	0	0.767118	1	0	0	0
32	0.00283837	3.68888	0	0.131025	1	0	0	0
33	0.00178442	3.68888	0	0.0294402	1	0	0	0
34	0.0024128	3.68888	0	0.240194	1	0	0	0
35	0.000438877	3.68888	0	0.368546	1	0	0	0
36	0.00156073	3.68888	0	0.747078	1	0	0	0
37	0.000774452	3.68888	0	0.569658	1	0	0	0
38	0.00210275	3.68888	0	0.959991	1	0	0	0
39	0.000722966	3.68888	0	0.44849	1	0	0	0
40	0.00138285	3.68888	0	0.160093	1	0	0	0
41	0.00486073	3.68888	0	0.500864	1	0	0	0
42	0.00379078	3.68888	0	0.988902	1	0	0	0
43	0.00138832	3.68888	0	0.365551	1	0	0	0
44	0.00276953	3.68888	0	0.537535	1	0	0	0
45	0.00202805	3.68888	0	0.444664	1	0	0	0
46	0.000615221	3.68888	0	0.774282	1	0	0	0
47	0.00165899	3.68888	0	0.338835	1	0	0	0
48	0.000388541	3.68888	0	0.132063	1	0	0	0
49	0.00169803	3.68888	0	0.908264	1	0	0	0
50	0.00144522	3.68888	0	0.807303	1	0	0	0
51	0.0038304	3.68888	0	0.481808	1	0	0	0
52	0.00453741	3.68888	0	0.302514	1	0	0	0
53	0.00240302	3.68888	0	0.721741	1	0	0	0
54	0.000897056	3.68888	0	0.78339	1	0	0	0
55	0.00253476	3.68888	0	0.812846	1	0	0	0
56	0.00144682	3.68888	0	0.692064	1	0	0	0
57	0.00100112	3.68888	0	0.743906	1	0	0	0
58	0.000403105	3.68888	0	0.238691	1	0	0	0
59	0.000577991	3.68888	0	0.321579	1	0	0	0
60	0.00193151	3.68888	0	0.749683	1	0	0	0
61	0.000633288	3.68888	0	0.80574	1	0	0	0
62	0.000703834	3.68888	0	0.394489	1	0	0	0
63	0.00297301	3.68888	0	0.369208	1	0	0	0
64	0.00150334	3.68888	0	0.30656	1	0	0	0
65	0.00176353	3.68888	0	0.791548	1	0	0	0
66	0.00047864	3.68888	0	0.583656	1	0	0	0
67	0.0014712	3.68888	0	0.768397	1	0	0	0
68	0.00432736	3.68888	0	0.362878	1	0	0	0
69	0.00240212	3.68888	0	0.416776	1	0	0	0
70	0.00157428	3.68888	0	0.899221	1	0	0	0
71	0.00397043	3.68888	0	0.914605	1	0	0	0
72	0.0015657	3.68888	0	0.997011	1	0	0	0
73	0.00134187	3.68888	0	0.529239	1	0	0	0
74	0.00222641	3.68888	0	0.637	1	0	0	0
75	0.00289693	3.68888	0	0.307645	1	0	0	0
76	0.00426879	3.68888	0	0.136711	1	0	0	0
77	0.0045775	3.68888	0	0.62542	1	0	0	0
78	0.00059686	3.68888	0	0.310909	1	0	0	0
79	0.000771235	3.68888	0	0.0289552	1	0	0	0
80	0.00136692	3.68888	0	0.818984	1	0	0	0
81	0.00113586	3.68888	0	0.618301	1	0	0	0
82	0.000761135	3.68888	0	0.0927231	1	0	0	0
83	0.00411555	3.68888	0	0.359188	1	0	0	0
84	0.00183693	3.68888	0	0.733345	1	0	0	0
85	0.00236677	3.68888	0	0.145095	1	0	0	0
86	0.000733983	3.68888	0	0.028354	1	0	0	0
87	0.0031436	3.68888	0	0.12948	1	0	0	0
88	0.000417226	3.68888	0	0.994385	1	0	0	0
89	0.00254222	3.68888	0	0.0724834	1	0	0	0
90	0.00290407	3.68888	0	0.465009	1	0	0	0
91	0.00172343	3.68888	0	0.519841	1	0	0	0
92	0.000378389	3.68888	0	0.240764	1	0	0	0
93	0.000489425	3.68888	0	0.430284	1	0	0	0
94	0.00488931	3.68888	0	0.991979	1	0	0	0
95	0.00170145	3.68888	0	0.5927	1	0	0	0
96	0.000604468	3.68888	0	0.230958	1	0	0	0
97	0.00187728	3.68888	0	0.214798	1	0	0	0
98	0.000955708	3.68888	0	0.357573	1	0	0	0
99	0.00109002	3.68888	0	0.899394	1	0	0	0
100	0.00190086	3.68888	0	0.321144	1	0	0	0
101	0.00109168	3.68888	0	0.0619984	1	0	0	0
102	0.0013879	3.68888	0	0.222257	1	0	0	0
103	0.00181032	3.68888	0	0.329567	1	0	0	0
104	0.000519907	3.68888	0	0.347508	1	0	0	0
105	0.00261535	3.68888	0	0.43677	1	0	0	0
106	0.00176262	3.68888	0	0.456388	1	0	0	0
107	0.00239901	3.68888	0	0.526953	1	0	0	0
108	0.00024515	3.68888	0	0.762512	1	0	0	0
109	0.000986618	3.68888	0	0.91366	1	0	0	0
110	0.00170854	3.68888	0	0.123697	1	0	0	0
111	0.0027018	3.68888	0	0.850986	1	0	0	0
112	0.00446971	3.68888	0	0.314047	1	0	0	0
113	0.00055023	3.68888	0	0.0762615	1	0	0	0
114	0.000464431	3.68888	0	0.962285	1	0	0	0
115	0.000234012	3.68888	0	0.346291	1	0	0	0
116	0.00100316	3.68888	0	0.971539	1	0	0	0
117	0.00269339	3.68888	0	0.0777626	1	0	0	0
118	0.000752571	3.68888	0	0.268396	1	0	0	0
119	0.000597494	3.68888	0	0.00580155	1	0	0	0
120	0.000278101	3.68888	0	0.545773	1	0	0	0
121	0.000602615	3.68888	0	0.343414	1	0	0	0
122	0.000631684	3.68888	0	0.387404	1	0	0	0
123	0.000528636	3.68888	0	0.0662413	1	0	0	0
124	0.000539298	3.68888	0	0.489661	1	0	0	0
125	0.0015809	3.68888	0	0.990936	1	0	0	0
126	0.00137608	3.68888	0	0.623049	1	0	0	0
127	0.000415822	3.68888	0	0.969847	1	0	0	0
128	0.000667834	3.68888	0	0.107742	1	0	0	0
129	0.00535108	3.68888	0	0.248492	1	0	0	0
130	0.0012458	3.68888	0	0.580457	1	0	0	0
131	0.00147073	3.68888	0	0.710122	1	0	0	0
132	0.00056259	3.68888	0	0.782737	1	0	0	0
133	0.00196782	3.68888	0	0.384637	1	0	0	0
134	0.00106639	3.68888	0	0.165833	1	0	0	0
135	0.00507331	3.68888	0	0.333084	1	0	0	0
136	0.00285263	3.68888	0	0.747792	1	0	0	0
137	0.00912246	3.68888	0	0.0832829	1	0	0	0
138	0.00230532	3.68888	0	0.576647	1	0	0	0
139	0.000321571	3.68888	0	0.755573	1	0	0	0
140	0.00329184	3.68888	0	0.450845	1	0	0	0
141	0.00102674	3.68888	0	0.120642	1	0	0	0
142	0.000109517	3.68888	0	0.466024	1	0	0	0
143	0.00126536	3.68888	0	0.841236	1	0	0	0
144	0.00110783	3.68888	0	0.55456	1	0	0	0
145	0.00465289	3.68888	0	0.113454	1	0	0	0
146	0.00186914	3.68888	0	0.548445	1	0	0	0
147	0.00321493	3.68888	0	0.919806	1	0	0	0
148	0.00211848	3.68888	0	0.711446	1	0	0	0
149	0.00623845	3.68888	0	0.944138	1	0	0	0
150	0.0033199	3.68888	0	0.072511	1	0	0	0
151	0.00222101	3.68888	0	0.487037	1	0	0	0
152	0.00290959	3.68888	0	0.377947	1	0	0	0
153	0.00212823	3.68888	0	0.0434111	1	0	0	0
154	0.00103125	3.68888	0	0.077884	1	0	0	0
155	0.00364857	3.68888	0	0.539395	1	0	0	0
156	0.00194051	3.68888	0	0.644003	1	0	0	0
157	0.00130788	3.68888	0	0.684427	1	0	0	0
158	0.00144676	3.68888	0	0.707551	1	0	0	0
159	0.00398901	3.68888	0	0.97883	1	0	0	0
160	0.000839174	3.68888	0	0.100695	1	0	0	0
161	0.00107012	3.68888	0	0.994297	1	0	0	0
162	0.00212299	3.68888	0	0.282439	1	0	0	0
163	0.00140095	3.68888	0	0.604883	1	0	0	0
164	0.00134823	3.68888	0	0.281709	1	0	0	0
165	0.00175868	3.68888	0	0.391268	1	0	0	0
166	0.00133938	3.68888	0	0.0061687	1	0	0	0
167	0.00071008	3.68888	0	0.205566	1	0	0	0
168	0.00162167	3.68888	0	0.297792	1	0	0	0
169	0.000540529	3.68888	0	0.632548	1	0	0	0
170	0.00704864	3.68888	0	0.0352944	1	0	0	0
171	0.00100856	3.68888	0	0.00579715	1	0	0	0
172	0.00375723	3.68888	0	0.306685	1	0	0	0
173	0.00117607	3.68888	0	0.484725	1	0	0	0
174	0.00257723	3.68888	0	0.683778	1	0	0	0
175	0.000909702	3.68888	0	0.300276	1	0	0	0
176	0.000826406	3.68888	0	0.340095	1	0	0	0
177	0.00212076	3.68888	0	0.608353	1	0	0	0
178	0.00369237	3.68888	0	0.399269	1	0	0	0
179	0.00113961	3.68888	0	0.413954	1	0	0	0
180	0.0028422	3.68888	0	0.0858934	1	0	0	0
181	0.00103932	3.68888	0	0.228419	1	0	0	0
182	0.00196016	3.68888	0	0.0746623	1	0	0	0
183	0.00185674	3.68888	0	0.907249	1	0	0	0
184	0.00214332	3.68888	0	0.886952	1	0	0	0
185	0.00326963	3.68888	0	0.770067	1	0	0	0
186	0.000764505	3.68888	0	0.316202	1	0	0	0
187	0.00445598	3.68888	0	0.762328	1	0	0	0
188	0.00590124	3.68888	0	0.935728	1	0	0	0
189	0.00241493	3.68888	0	0.0122458	1	0	0	0
190	0.00203915	3.68888	0	0.187908	1	0	0	0
191	0.000347876	3.68888	0	0.415494	1	0	0	0
192	0.000560288	3.68888	0	0.0293713	1	0	0	0
193	0.00254748	3.68888	0	0.0769786	1	0	0	0
194	0.0011864	3.68888	0	0.109507	1	0	0	0
195	0.00461779	3.68888	0	0.976738	1	0	0	0
196	0.00394948	3.68888	0	0.546635	1	0	0	0
197	0.0012741	3.68888	0	0.763124	1	0	0	0
198	0.000327253	3.68888	0	0.147167	1	0	0	0
199	0.00165095	3.68888	0	0.808852	1	0	0	0
200	0.000296903	3.68888	0	0.449696	1	0	0	0
201	0.000912228	3.68888	0	0.0822136	1	0	0	0
202	0.00105768	3.68888	0	0.908731	1	0	0	0
203	0.00131039	3.68888	0	0.53021	1	0	0	0
204	0.000445777	3.68888	0	0.234583	1	0	0	0
205	0.00117536	3.68888	0	0.152094	1	0	0	0
206	0.000553973	3.68888	0	0.317692	1	0	0	0
207	0.00428301	3.68888	0	0.685265	1	0	0	0
208	0.00257528	3.68888	0	0.429209	1	0	0	0
209	0.00162324	3.68888	0	0.131101	1	0	0	0
210	0.00322681	3.68888	0	0.980297	1	0	0	0
211	0.00756052	3.68888	0	0.348401	1	0	0	0
212	0.00343193	3.68888	0	0.542401	1	0	0	0
213	0.000890702	3.68888	0	0.789581	1	0	0	0
214	0.000527921	3.68888	0	0.563322	1	0	0	0
215	0.0130539	3.68888	0	0.737596	1	0	0	0
216	0.000470589	3.68888	0	0.946583	1	0	0	0
217	0.00456583	3.68888	0	0.411667	1	0	0	0
218	0.000244902	3.68888	0	0.427604	1	0	0	0
219	0.00286586	3.68888	0	0.75022	1	0	0	0
220	0.000736858	3.68888	0	0.446644	1	0	0	0
221	0.00289845	3.68888	0	0.19373	1	0	0	0
222	0.000801588	3.68888	0	0.409027	1	0	0	0
223	0.00552221	3.68888	0	0.654785	1	0	0	0
224	0.00116538	3.68888	0	0.110837	1	0	0	0
225	0.00670933	3.68888	0	0.828152	1	0	0	0
226	0.00096444	3.68888	0	0.896253	1	0	0	0
227	0.000670598	3.68888	0	0.474889	1	0	0	0
228	0.000631575	3.68888	0	0.519732	1	0	0	0
229	0.00111901	3.68888	0	0.780399	1	0	0	0
230	0.00102499	3.68888	0	0.599855	1	0	0	0
231	0.000993991	3.68888	0	0.51297	1	0	0	0
232	0.000767151	3.68888	0	0.0619201	1	0	0	0
233	0.000580758	3.68888	0	0.707003	1	0	0	0
234	0.000735576	3.68888	0	0.259234	1	0	0	0
235	0.00192714	3.68888	0	0.747938	1	0	0	0
236	0.00216181	3.68888	0	0.143559	1	0	0	0
237	0.00209965	3.68888	0	0.990977	1	0	0	0
238	0.00133554	3.68888	0	0.0121104	1	0	0	0
239	0.00133344	3.68888	0	0.653641	1	0	0	0
240	0.000748157	3.68888	0	0.841516	1	0	0	0
241	0.0020463	3.68888	0	0.0650315	1	0	0	0
242	0.00141547	3.68888	0	0.332064	1	0	0	0
243	0.000199409	3.68888	0	0.631155	1	0	0	0
244	0.00216739	3.68888	0	0.291919	1	0	0	0
245	0.000668506	3.68888	0	0.0211067	1	0	0	0
246	0.00297456	3.68888	0	0.430513	1	0	0	0
247	0.00113591	3.68888	0	0.906361	1	0	0	0
248	0.00147136	3.68888	0	0.00979151	1	0	0	0
249	0.000585049	3.68888	0	0.181409	1	0	0	0
250	0.00258124	3.68888	0	0.84794	1	0	0	0
251	0.00430422	3.68888	0	0.16672	1	0	0	0
252	0.0025181	3.68888	0	0.446331	1	0	0	0
253	0.002325	3.68888	0	0.118659	1	0	0	0
254	0.00196087	3.68888	0	0.918697	1	0	0	0
255	0.00113191	3.68888	0	0.192579	1	0	0	0
256	0.00116641	3.68888	0	0.27415	1	0	0	0
257	0.000855534	3.68888	0	0.907938	1	0	0	0
258	0.00298742	3.68888	0	0.201649	1	0	0	0
259	0.00523045	3.68888	0	0.375763	1	0	0	0
260	0.00329637	3.68888	0	0.504532	1	0	0	0
261	0.000756143	3.68888	0	0.0682099	1	0	0	0
262	0.000296372	3.68888	0	0.799293	1	0	0	0
263	0.00829617	3.68888	0	0.986668	1	0	0	0
264	0.00111633	3.68888	0	0.589401	1	0	0	0
265	0.00129503	3.68888	0	0.178353	1	0	0	0
266	0.00221358	3.68888	0	0.523604	1	0	0	0
267	0.000880955	3.68888	0	0.504133	1	0	0	0
268	0.000476965	3.68888	0	0.710032	1	0	0	0
269	0.00147841	3.68888	0	0.082347	1	0	0	0
270	0.000662246	3.68888	0	0.180097	1	0	0	0
271	0.00146013	3.68888	0	0.24108	1	0	0	0
272	0.00287314	3.68888	0	0.135378	1	0	0	0
273	0.00249753	3.68888	0	0.571201	1	0	0	0
274	0.00267228	3.68888	0	0.721913	1	0	0	0
275	0.0039406	3.68888	0	0.572038	1	0	0	0
276	0.000633075	3.68888	0	0.241322	1	0	0	0
277	0.0015658	3.68888	0	0.184514	1	0	0	0
278	0.00293918	3.68888	0	0.919704	1	0	0	0
279	0.00312503	3.68888	0	0.86556	1	0	0	0
280	0.00409865	3.68888	0	0.998406	1	0	0	0
281	0.000416506	3.68888	0	0.737398	1	0	0	0
282	0.000227169	3.68888	0	0.94357	1	0	0	0
283	0.000822526	3.68888	0	0.514604	1	0	0	0
284	0.000213979	3.68888	0	0.761624	1	0	0	0
285	0.00875793	3.68888	0	0.755578	1	0	0	0
286	0.00149192	3.68888	0	0.2864	1	0	0	0
287	0.00174959	3.68888	0	0.127654	1	0	0	0
288	0.000951111	3.68888	0	0.765117	1	0	0	0
289	0.00292428	3.68888	0	0.732727	1	0	0	0
