TreeID	X	Y	SpecID
1297397	921.897	327.685	21
1289414	577.361	413.185	8
1280505	557.756	375.809	16
1306977	488.05	118.119	5
1298688	806.251	23.1371	39
1293755	425.451	226.283	14
1298613	233.069	457.493	0
1256525	542.082	168.408	105
1299201	567.422	267.151	30
1240288	512.358	473.695	23
1303043	47.4995	436.771	47
1307156	864.278	365.814	5
1297735	342.748	460.945	5
1220044	374.509	321.547	18
1312301	725.864	379.745	55
1310285	697.473	270.049	0
1273039	794.498	445.803	18
1263053	879.488	217.594	12
1288817	305.032	24.0669	18
1234180	167.518	87.5787	68
1303275	934.083	296.886	29
1306724	761.912	351.701	10
1312880	564.278	167.971	98
1306865	729.557	375.014	79
1284651	944.66	346.01	36
1310494	750.897	454.281	59
1313019	210.412	90.8981	59
1253889	843.144	93.0272	18
1288350	960.924	449.933	54
1302909	335.578	335.411	5
1218133	92.7219	293.488	10
1260421	768.664	457.477	0
1303548	471.35	40.6528	37
1313287	558.744	383.74	1
1300562	205.267	71.09	5
1293110	85.9924	450.591	0
1302704	287.001	228.339	9
1307848	559.957	195.455	15
1305682	542.343	177.823	0
1314074	401.701	94.8006	39
1295217	6.33394	181.956	14
1300652	633.158	469.081	5
1272129	338.717	299.257	13
1296643	454.24	130.035	46
1270412	803.29	397.818	0
1292897	373.334	208.033	69
1305711	901.893	68.0382	5
1268439	800.374	228.568	14
1276738	919.677	246.267	31
1313429	617.24	89.6971	12
1299215	518.697	120.891	2
1283613	299.807	370.786	10
1270277	741.672	197.244	32
1295620	954.349	52.1669	39
1290726	585.711	355.037	49
1310081	421.945	345.087	31
1307254	714.702	14.9301	2
1309379	872.769	426.88	18
1308494	44.4286	238.446	5
1258496	942.898	167.341	16
1313822	910.908	64.8037	18
1292987	136.495	167.864	5
1312987	443.778	121.539	12
1284581	817.113	333.512	5
1313968	174.827	439.833	30
1274453	491.876	248.654	31
1314041	555.093	322.181	11
1311349	429.047	156.755	5
1301837	728.464	251.28	8
1302142	707.211	277.932	25
1292166	402.249	255.227	12
1308761	102.143	470.263	85
1308671	237.308	137.388	115
1294849	348.625	129.662	101
1307232	457.901	241.341	138
1306354	605.331	257.378	37
1304217	711.429	256.327	5
1311615	706.056	429.075	29
1301340	630.586	182.851	73
1267505	613.145	379.737	45
1293240	799.786	428.398	1
1313720	237.115	478.959	38
1306172	956.858	168.159	14
1284517	704.619	101.911	15
1287031	474.559	488.165	8
1263890	307.679	142.866	5
1306530	442.648	168.579	12
1310477	991.698	143.156	6
1260395	866.197	282.656	18
1259270	486.747	54.857	39
1312011	745.395	337.26	27
1312957	200.519	372.123	0
1308406	684.308	23.5822	12
1245388	959.719	56.4926	10
1312806	180.709	72.8658	31
1308840	435.529	331.726	11
1228248	75.9061	377.193	6
1310025	735.964	110.484	27
1306847	12.3274	356.55	11
1313436	546.408	365.456	122
1310898	829.513	140.202	5
1281350	84.9486	18.6228	2
1307047	782.073	168.756	12
1295632	189.151	273.434	11
1296343	281.616	196.533	5
1192859	888.019	469.841	65
1287243	973.337	346.624	59
1279421	200.915	36.1439	37
1268770	371.792	248.415	12
1309928	500.577	458.338	120
1262226	204.778	25.0716	73
1293638	626.173	230.202	25
1277250	661.039	230.526	133
1313349	224.395	89.5588	37
1304176	591.148	133.648	109
1310585	756.335	313.525	14
1285994	805.716	420.477	14
1280944	921.613	201.143	45
1289345	231.692	296.919	21
1273128	434.866	6.64145	24
1308328	956.423	141.809	29
1281110	549.309	152.632	50
1272319	508.2	184.114	17
1222790	855.402	55.139	18
1285990	976.826	220.628	5
1311291	906.256	65.2378	39
1304061	386.649	276.504	10
1297734	171.016	313.833	0
1303893	688.583	77.3157	18
1276032	142.053	23.3094	33
1302016	399.899	381.285	217
1305492	742.648	378.64	4
1311416	767.839	366.958	35
1301438	635.362	156.401	13
1305427	643.732	410.618	17
1253191	262.414	163.779	13
1259386	588.354	190.73	5
1293550	46.935	290.331	25
1304468	118.306	4.85815	14
1311572	949.508	442.509	124
1302085	95.1266	214.838	10
1276207	440.954	130.18	25
1313921	61.5038	401.047	128
1301289	608.858	336.269	11
1310314	130.621	433.624	15
1289697	363.243	384.181	13
1310299	712.587	3.98061	36
1306291	338.654	148.858	21
1313778	594.833	4.01322	1
1269702	447.762	325.074	5
1291174	944.437	58.8677	43
1243644	430.473	253.037	124
1311975	217.103	36.3783	55
1291873	814.131	207.753	12
1278262	713.556	196.413	36
1303996	628.791	127.636	31
1270340	985.854	200.788	13
1245203	339.985	356.102	5
1291293	86.9701	396.616	29
1303270	506.365	316.449	11
1269467	871.706	77.8076	100
1289954	928.08	314.83	70
1297246	430.24	29.514	30
1309223	83.9516	181.418	14
1297754	689.765	429.959	14
1248774	882.919	223.734	12
1303827	866.391	124.268	10
1313767	396.588	341.122	4
1203989	925.097	239.69	10
1268519	769.826	79.1097	15
1257229	609.854	425.945	94
1314095	457.349	470.111	43
1305411	357.876	337.335	29
1285309	737.948	158.431	22
1307168	192.829	460.151	79
1297655	25.2263	215.488	13
1299305	47.6721	405.742	59
1281153	801.252	134.623	5
1294951	635.064	36.1494	12
1256647	0.751942	13.6764	94
1287715	726.105	497.801	88
1198376	853.85	380.222	81
1274758	786.996	276.027	29
1304599	851.933	115.137	10
1312199	455.006	358.585	94
1305970	10.3519	263.699	30
1304030	806.716	361.996	65
1308152	224.567	116.585	36
1264626	529.74	374.59	5
1279170	954.786	383.023	134
1288306	815.861	367.09	14
1305598	727.481	123.476	37
1262624	524.006	76.7453	111
1262481	389.74	218.482	175
1296091	810.883	73.458	55
1309550	288.295	86.1539	1
1306692	244.474	437.078	5
1310459	111.54	467.159	36
1278287	431.432	21.8065	26
1303817	539.728	270.061	37
1306579	496.259	144.754	10
1312752	894.183	266.042	24
1266302	667.426	150.671	22
1306096	561.431	482.248	23
1219362	147.939	97.5595	6
1312610	56.4533	309.454	8
1281215	271.449	372.789	10
1310926	202.547	66.6379	61
1301544	796.689	411.581	1
1301189	189.331	386.772	31
1307505	151.836	105.683	31
1313156	526.991	461.697	101
1289592	967.909	11.5699	13
1300518	933.341	51.5902	32
1312087	927.595	256.453	143
1288535	327.59	362.705	45
1285866	901.878	90.5216	55
1288102	754.269	63.7867	35
1226701	297.588	309.56	14
1295283	97.7163	448.195	37
1312856	648.421	48.8986	10
1294392	284.67	72.2178	1
1298297	119.996	120.286	11
1307552	174.092	247.78	5
1312449	575.41	419.901	1
1311960	908.505	146.791	31
1308818	818.985	258.969	13
1287646	605.933	316.121	91
1279447	396.166	362.72	16
1309834	749.022	59.3876	75
1297783	203.05	467.965	91
1289412	99.4367	323.489	14
1312171	599.437	262.044	109
1309273	15.9516	120.772	4
1303889	73.1231	328.503	29
1313493	572.076	193.423	10
1265137	285.638	183.959	54
1293343	546.619	116.854	11
1313523	164.83	324.218	88
1215146	620.72	27.767	5
1280451	616.535	169.839	17
1248320	877.112	33.7612	60
1311315	341.736	436.564	0
1300822	861.358	316.263	36
1295319	653.269	111.464	73
1306686	350.698	252.162	59
1304572	375.756	130.015	124
1255119	792.984	230.866	3
1304332	499.716	394.668	69
1307807	161.688	200.967	36
1284308	945.547	2.55379	31
1299464	439.807	345.312	11
1293466	564.312	19.4385	36
1295299	932.641	146.48	35
1307041	510.18	119.864	42
1252321	105.243	205.353	128
1292022	552.007	368.999	27
1300457	553.47	78.7743	197
1297739	7.28706	490.576	37
1281479	700.153	122.009	59
1311725	365.236	266.983	234
1308167	14.5591	394.758	14
1207082	319.667	108.518	18
1310354	892.942	313.585	5
1308385	851.882	273.574	18
1294338	589.027	401.962	5
1299732	802.045	393.52	13
1295286	88.427	27.0895	42
1314044	815.231	302.61	57
1306788	259.599	449.522	12
1261058	415.264	395.921	30
1312147	5.25078	80.0159	37
1298809	362.348	51.3735	12
1312765	595.01	145.841	8
1311933	258.082	36.7458	18
1299771	19.3597	178.323	5
1304356	882.797	67.4516	13
1305956	817.362	166.861	10
1307655	224.055	356.567	5
1302908	75.2402	345.393	21
1269255	749.556	268.313	29
1279870	366.418	14.8535	68
1306384	555.84	362.569	14
