TreeID	X	Y	SpecID
0	404.518	395.273	10
1	725.501	398.061	14
2	374.402	110.716	5
3	291.581	64.0026	13
4	279.576	55.9737	31
5	54.346	23.622	50
6	968.55	0.500478	5
7	758.626	310.531	18
8	911.779	330.84	98
9	469.398	134.242	59
10	548.321	213.349	35
11	981.57	153.931	8
12	482.221	72.8162	35
13	310.824	232.956	10
14	876.002	236.973	103
15	434.394	326.923	35
16	394.068	148.837	18
17	451.063	56.615	59
18	766.806	42.3258	11
19	21.7753	150.215	29
20	876.267	440.794	68
21	39.3542	85.7579	73
22	288.864	383.083	18
23	409.588	170.134	103
24	159.85	415.998	25
25	126.086	36.445	10
26	898.287	415.002	97
27	190.213	288.161	39
28	460.039	120.252	25
29	533.893	394.219	13
30	965.067	170.158	131
31	178.831	232.262	69
32	623.468	40.5847	91
33	554.639	377.116	33
34	935.629	139.552	125
35	775.203	393.221	73
36	936.072	498.529	9
37	753.699	86.9344	5
38	483.267	2.49782	21
39	247.614	375.468	1
40	48.2557	414.241	4
41	302.19	326.96	12
42	583.119	147.084	5
43	496.434	38.5985	31
44	559.381	325.913	14
45	569.161	211.622	30
46	224.828	106.275	4
47	333.033	15.4199	13
48	725.526	72.1144	6
49	414.807	215.32	5
50	183.102	283.092	54
51	882.686	86.975	15
52	851.197	127.108	14
53	143.095	222.387	18
54	885.062	269.059	16
55	683.332	170.15	31
56	198.802	127.712	223
57	810.82	213.805	143
58	342.454	451.568	4
59	304.839	228.479	12
60	934.38	67.7985	59
61	640.597	116.407	40
62	343.084	447.54	59
63	532.3	150.246	37
64	407.486	144.401	0
65	651.221	354.098	27
66	41.0881	9.80704	59
67	376.746	436.767	9
68	287.612	206.071	5
69	266.471	0.627764	11
70	421.312	495.405	37
71	560.07	63.5467	29
72	843.341	162.372	10
73	205.44	348.103	25
74	414.857	202.8	91
75	790.819	189.405	5
76	475.878	365.792	5
77	892.49	412.76	25
78	175.742	262.376	5
79	966.021	206.101	55
80	658.505	211.168	5
81	500.939	318.191	6
82	878.594	413.528	105
83	825.832	86.1328	18
84	258.841	371.427	13
85	973.825	65.0588	5
86	881.446	460.184	10
87	888.808	135.756	50
88	925.929	117.611	16
89	448.73	448.601	5
90	965.028	320.656	31
91	842.638	302.422	5
92	784.427	175.645	11
93	117.386	234.795	15
94	196.562	175.13	73
95	783.237	384.331	50
96	493.066	151.64	70
97	546.07	262.791	9
98	78.3477	170.756	31
99	679.367	121.526	9
100	738.143	248.847	37
101	807.76	42.826	5
102	252.721	128.144	62
103	905.914	431.93	18
104	943.56	209.745	92
105	294.517	494.795	16
106	425.251	38.3745	11
107	402.807	98.1694	128
108	844.076	253.068	11
109	723.69	68.6143	24
110	6.6109	169.444	21
111	897.21	454.898	20
112	288.577	204.452	13
113	124.249	0.257032	65
114	31.0058	221.965	5
115	36.8746	122.975	5
116	663.242	290.429	14
117	488.835	213.641	100
118	54.1515	242.883	163
119	385.177	63.4895	59
120	327.561	331.059	0
121	692.756	59.7189	15
122	360.075	86.8995	22
123	758.014	365.595	5
124	635.911	337.963	6
125	633.152	439.992	39
126	981.323	122.182	113
127	179.227	239.571	5
128	379.424	171.304	73
129	215.811	317.721	6
130	267.008	276.617	15
131	926.69	311.593	5
132	928.059	241.347	9
133	644.735	160.041	18
134	812.967	45.1314	29
135	695.972	263.113	57
136	732.965	328.583	36
137	946.099	174.217	1
138	861.459	300.924	5
139	358.637	354.237	5
140	381.99	293.92	5
141	115.895	225.843	36
142	558.491	320.21	18
143	656.753	114.311	31
144	234.73	122.811	13
145	606.892	429.298	5
146	252.805	242.548	59
147	384.269	383.334	5
148	974.297	40.6442	59
149	9.65872	121.441	45
150	943.972	416.467	10
151	56.634	58.4516	32
152	736.178	419.623	5
153	89.9441	133.804	79
154	27.8374	126.111	15
155	53.2353	9.88933	5
156	747.903	317.994	8
157	699.587	300.326	73
158	917.874	310.833	18
159	876.154	134.105	55
160	911.24	424.45	11
161	378.245	57.652	122
162	850.872	105.369	187
163	664.444	480.426	59
164	839.512	399.054	119
165	150.486	270.664	1
166	870.096	337.677	31
167	17.1484	429.729	59
168	75.3435	364.804	12
169	930.743	222.505	5
170	567.324	412.128	26
171	601.955	141.392	9
172	3.26014	380.234	79
173	587.205	319.858	37
174	819.076	261.768	69
175	160.865	274.887	18
176	525.741	124.803	30
177	79.4673	261.225	6
178	728.956	293.864	16
179	220.683	408.93	31
180	751.812	192.495	16
181	659.854	269.191	72
182	814.307	383.368	47
183	693.052	182.119	37
184	366.281	378.047	5
185	522.054	27.244	4
186	135.38	483.85	5
187	781.937	76.034	16
188	971.765	99.7562	30
189	571.374	171.445	100
190	611.085	93.1345	10
191	823.714	71.5703	37
192	658.056	34.9749	61
193	88.1084	301.693	55
194	588.592	39.6132	0
195	882.169	455.224	31
196	733.219	381.198	36
197	910.853	33.3797	38
198	6.38091	284.881	109
199	629.945	439.281	59
200	825.932	379.57	0
201	636.237	469.581	128
202	552.514	485.308	8
203	960.893	303.051	60
204	48.2921	336.409	29
205	133.389	436.327	31
206	255.769	107.454	16
207	977.588	466.873	37
208	865.606	375.309	73
209	15.2417	203.485	41
210	814.922	161.744	53
211	146.541	372.727	14
212	912.826	154.306	39
213	506.506	98.274	109
214	565.779	286.635	5
215	638.839	160.92	5
216	331.861	121.007	11
217	230.374	329.792	30
218	765.756	273.543	18
219	82.8469	333.395	65
220	687.747	485.464	69
221	727.757	180.791	5
222	137.283	159.636	9
223	731.113	182.096	36
224	359.813	47.7814	54
225	620.739	325.703	10
226	742.035	197.852	1
227	815.133	428.965	69
228	475.434	450.537	6
229	982.015	376.54	5
230	883.515	237.984	29
231	550.601	404.097	31
232	256.696	305.569	69
233	13.1461	201.855	12
234	249.602	369.504	6
235	241.02	488.573	150
236	423.316	300.095	94
237	452.442	233.119	18
238	555.267	183.475	1
239	896.203	43.3158	40
240	75.6939	24.208	25
241	647.755	463.253	5
242	179.091	362.037	0
243	265.033	499.856	16
244	850.541	447.051	71
245	648.07	418.453	5
246	289.136	387.865	65
247	604.779	89.8061	61
248	79.7108	186.907	69
249	646.956	464.31	61
250	761.047	19.2223	6
251	902.311	101.734	25
252	746.416	477.748	11
253	669.347	394.904	15
254	901.342	140.176	36
255	403.383	55.3756	37
256	712.435	254.982	59
257	65.9113	381.313	29
258	48.4521	6.52807	17
259	285.216	268.647	26
260	659.529	322.58	91
261	940.614	99.0471	10
262	915.812	298.9	69
263	468.956	16.7401	0
264	374.438	369.756	152
265	226.31	239.365	14
266	248.914	351.915	5
267	794.651	499.66	12
268	369.213	399.147	5
269	457.3	435.012	100
270	343.328	205.346	18
271	444.815	482.62	55
272	978.016	463.528	18
273	709.098	320.266	88
274	175.683	338.496	9
275	122.608	425.936	6
276	235.55	84.1135	32
277	499.45	445.144	37
278	926.137	194.039	0
279	133.703	47.9556	5
280	272.054	250.397	9
281	322.837	138.932	31
282	54.7037	286.626	59
283	326.158	434.713	69
284	24.2262	457.485	5
285	98.3277	353.94	11
286	722.256	418.942	143
287	337.061	233.482	13
288	741.58	450.433	0
289	52.1737	358.132	18
290	722.544	305.683	11
291	314.552	351.028	13
292	110.323	238.206	30
293	577.736	210.29	26
294	221.593	87.1232	15
295	233.977	485.147	10
296	87.0586	388.289	43
297	805.33	495.435	10
298	934.841	315.371	33
299	46.252	462.652	8
300	620.179	175.961	33
301	735.545	217.429	66
302	185.676	326.175	17
303	876.463	224.086	31
304	194.418	466.141	45
305	344.318	209.789	79
306	199.755	103.016	5
307	912.78	346.305	20
308	719.518	417.787	0
309	160.562	483.191	26
310	418.51	129.794	5
311	12.6354	139.853	13
