SpecID	MetaRelAbund	muDisp	sigmaDisp	trait	CNDD	LocalAbund	Kcon10	Kcon50
0	0.0214355	2.83908	0	0.153092	1	448	335.753	8295.89
1	0.027926	2.83908	0	0.660512	1	594	366.077	8354.01
2	0.0134273	2.83908	0	0.191228	1	263	348.6	10006.7
3	0.022426	2.83908	0	0.271331	1	490	352.379	7960.59
4	0.0586528	2.83908	0	0.591598	1	1143	321.116	8065.85
5	0.040235	2.83908	0	0.0177711	1	753	298.14	8081.31
6	0.0155862	2.83908	0	0.485723	1	334	307.383	8031.09
7	0.0399738	2.83908	0	0.218416	1	875	335.245	8147.91
8	0.0332002	2.83908	0	0.789436	1	712	307.389	7953.6
9	0.00401025	2.83908	0	0.93265	1	108	692.281	12733.5
10	0.0135307	2.83908	0	0.282821	1	297	377.53	9748.05
11	0.01308	2.83908	0	0.446824	1	280	462.314	9107.93
12	0.0204028	2.83908	0	0.609	1	386	358.903	8308.81
13	0.0160303	2.83908	0	0.390107	1	329	542.39	8755.74
14	0.00153825	2.83908	0	0.733855	1	35	0	0
15	0.00075475	2.83908	0	0.24836	1	10	0	0
16	0.0003765	2.83908	0	0.611021	1	14	0	0
17	0.00460225	2.83908	0	0.291055	1	99	515.802	11623.6
18	8.175e-005	2.83908	0	0.90253	1	1	0	0
19	0.0013765	2.83908	0	0.419403	1	14	0	0
20	0.00089075	2.83908	0	0.89296	1	13	0	0
21	0.001793	2.83908	0	0.459388	1	39	0	0
22	0.0514852	2.83908	0	0.523822	1	1169	349.695	7889.95
23	0.00511525	2.83908	0	0.532595	1	100	303.607	11928.3
24	0.00463475	2.83908	0	0.430312	1	103	572.921	10328.8
25	0.040757	2.83908	0	0.691848	1	923	361.468	7925.32
26	0.00648325	2.83908	0	0.602361	1	141	410.358	10530.1
27	0.005031	2.83908	0	0.581199	1	110	334.952	10575.4
28	0.004017	2.83908	0	0.394272	1	69	641.705	17464.8
29	0.00225775	2.83908	0	0.101796	1	52	1510.45	15562.8
30	0.000981	2.83908	0	0.224977	1	14	0	0
31	0.004693	2.83908	0	0.963967	1	134	392.773	11546.2
32	0.014001	2.83908	0	0.591316	1	307	451.031	9351.18
33	0.008345	2.83908	0	0.708136	1	141	354.61	9207.22
34	0.001886	2.83908	0	0.834123	1	45	0	0
35	0.00950075	2.83908	0	0.445959	1	213	334.029	9157.84
36	0.0385045	2.83908	0	0.0585757	1	766	346.265	8049.2
37	0.00433125	2.83908	0	0.773668	1	81	309.257	15390.6
38	0.0029675	2.83908	0	0.587475	1	62	796.375	12823.4
39	0.008391	2.83908	0	0.253996	1	166	586.81	11645.5
40	0.00147025	2.83908	0	0.523502	1	44	0	0
41	0.0118128	2.83908	0	0.226915	1	289	432.817	9825.49
42	0.0336915	2.83908	0	0.0604456	1	713	335.104	8190.63
43	0.0381165	2.83908	0	0.427396	1	765	353.332	8071.43
44	0.00655725	2.83908	0	0.127261	1	152	526.625	11072.4
45	0.023778	2.83908	0	0.0613646	1	485	350.074	8522.79
46	0.0102718	2.83908	0	0.906006	1	265	357.531	8492.62
47	0.0029195	2.83908	0	0.157937	1	64	499.525	8372.99
48	0.00139775	2.83908	0	0.167656	1	31	0	0
49	0.0233165	2.83908	0	0.711151	1	473	382.892	8297.17
50	0.001115	2.83908	0	0.87231	1	36	0	0
51	0.0097515	2.83908	0	0.466533	1	213	578.228	10405.9
52	0.0193897	2.83908	0	0.283918	1	384	341.493	8782.07
53	0.0046215	2.83908	0	0.463449	1	77	859.533	10105.1
