TreeID	X	Y	SpecID
1696710	244.307	486.704	171
1684125	534.726	32.3857	161
1653127	776.837	20.82	68
1692883	15.4954	495.676	35
1697662	823.949	424.679	68
1688493	616.395	346.568	92
1692312	758.921	159.006	22
1636766	95.0589	341.866	12
1672655	658.562	398.72	79
1701047	514.891	295.526	5
1701757	774.17	121.12	65
1703966	627.653	105.938	45
1670215	948.222	465.324	12
1681680	846.161	391.326	57
1653632	420.198	284.925	37
1695163	385.943	227.118	10
1697610	630.594	233.846	13
1694356	879.36	149.523	53
1664053	870.989	87.8073	12
1687653	385.563	248.944	38
1671017	842.208	267.427	35
1687218	227.101	363.154	22
1699068	417.178	276.785	5
1683217	470.916	427.41	10
1673494	692.143	106.914	14
1687089	578.243	151.39	14
1660524	771.699	264.942	1
1706972	349.342	275.475	40
1698001	681.371	306.971	12
1706637	597.679	363.312	69
1704286	536.921	468.043	27
1703566	388.159	108.077	5
1707007	820.896	127.566	17
1693914	952.719	114.628	45
1673536	895.756	483.175	31
1660255	692.175	76.9079	11
1694407	459.538	259.249	59
1692743	679.906	39.3874	5
1674040	83.7405	165.248	35
1702586	812.33	132.853	109
1688282	748.844	306.17	5
1694557	655.487	169.812	30
1686778	386.926	379.522	79
1704740	851.539	462.262	100
1645226	140.559	11.743	79
1698692	627.984	244.057	37
1698728	586.577	99.7739	18
1684488	258.553	44.9008	5
1706846	674.832	74.1033	13
1703230	609.895	212.887	13
1704803	35.3287	15.0222	14
1677819	474.178	487.762	40
1689593	177.127	379.267	60
1694286	750.287	452.336	61
1670762	276.113	224.191	18
1704766	61.1345	464.157	36
1621677	534.407	166.885	29
1665355	582.814	249.017	14
1700357	46.5537	33.3901	5
1697390	943.122	461.485	31
1688585	887.1	141.963	94
1692014	937.614	372.004	68
1696519	693.34	316.831	15
1676164	436.725	338.945	15
1674929	381.52	393.737	9
1675263	652.387	427.899	8
1705601	716.846	312.801	69
1698106	826.139	284.367	14
1700516	214.584	183.709	5
1707356	709.188	447.096	5
1704129	200.106	315.198	31
1703610	279.302	6.82714	31
1681576	573.254	259.494	32
1699483	798.823	114.819	5
1701939	815.414	181.185	31
1690460	895.024	191.493	55
1688186	617.752	108.543	61
1707310	90.2849	186.095	36
1697704	250.784	155.31	12
1679838	777.907	398.331	134
1691556	567.171	89.7955	79
1703787	943.46	413.421	5
1687897	638.301	142.203	13
1695099	202.466	245.221	35
1705564	110.751	416.145	12
1633643	467.566	464.842	36
1686927	715.291	285.166	5
1676077	660.585	105.363	8
1692719	232.518	468.411	13
1684621	42.9428	119.449	36
1702597	752.704	329.378	26
1696922	419.531	321.649	14
1688578	14.2275	169.409	59
1706371	808.554	163.46	30
1693265	842.466	328.936	4
1695135	823.006	208.291	55
1670538	64.17	443.676	66
1669522	480.597	472.69	29
1684239	318.369	174.429	112
1663892	296.791	119.266	12
1660672	707.405	304.592	18
1703857	413.996	115.643	75
1699378	407.466	408.654	6
1684611	874.456	413.311	15
1670884	53.7447	212.048	28
1676126	527.399	325.622	12
1695266	680.576	300.868	27
1682727	228.834	284.166	99
1702863	621.736	38.5841	32
1693816	413.423	268.766	17
1642855	48.176	496.156	141
1624082	418.149	69.5932	31
1665451	240.19	106.685	35
1703842	147.943	455.448	8
1707152	199.66	477.305	12
1667231	503.303	441.006	31
1698524	194.279	222.002	37
1673376	799.095	58.5539	14
1677722	827.498	144.62	17
1685128	249.228	111.01	124
1701788	923.515	156.646	45
1699931	856.701	150.193	31
1694318	168.874	287.921	35
1703180	13.9531	65.0568	178
1624857	762.615	462.356	79
1696513	598.638	173.187	13
1690791	389.575	161.295	5
1677662	165.165	339.393	55
1699838	898.718	39.3079	5
1692704	448.225	201.023	5
1705137	877.665	92.2706	12
1677345	918.165	165.165	6
1701626	566.11	429.755	33
1673807	357.072	214.25	31
1702291	102.545	339.292	5
1678220	464.063	84.2549	10
1681332	803.277	62.8641	18
1701643	676.956	144.893	5
1699525	491.084	443.601	18
1696206	909.372	476.732	57
1701654	713.055	142.657	200
1707411	564.974	53.4643	149
1704619	440.683	350.833	0
1696027	39.0815	65.5627	18
1699665	165.233	224.542	5
1704498	181.798	33.3613	18
1705234	436.275	366.025	25
1661899	995.948	21.9768	178
1706551	519.311	468.46	9
1653345	772.588	448.465	79
1682526	366.293	399.636	13
1702832	64.4181	275.498	50
1698757	686.098	178.341	5
1704026	561.122	141.32	5
1683856	268.539	267.643	17
1695743	150.069	145.774	5
1704364	568.701	439.727	5
1691224	73.4461	137.933	25
1702063	771.484	23.8103	31
1673837	759.255	230.707	37
1686025	223.556	227.942	158
1702956	964.007	375.534	10
1663573	139.159	396.527	9
1701856	274.866	407.21	14
1703051	707.553	250.168	145
1701858	545.024	131.996	5
1704353	563.684	174.747	39
1687592	849.962	398.419	73
1696075	558.391	80.972	58
1681955	32.5074	456.716	9
1684412	880.823	463.319	5
1693973	963.644	189.484	48
1634985	340.635	388.823	5
1703033	345.087	268.198	5
1695788	580.892	283.149	138
1702631	172.233	100.413	112
1694187	388.041	288.608	18
1694075	939.48	256.111	9
1703195	977.645	458.839	20
1695716	313.02	383.828	39
1652198	536.278	353.268	93
1693620	597.473	114.449	33
1686497	676.709	459.157	150
1706420	657.323	410.374	142
1689084	47.9601	45.3305	6
1704123	192.89	275.809	69
1680560	836.147	51.8398	134
1687362	244.683	278.888	17
1676279	616.431	308.869	12
1702965	388.869	326.253	57
1685656	714.799	61.5455	31
1629072	271.61	85.0933	18
1686491	148.717	479.633	44
1702859	970.481	228.206	5
1700778	947.491	215.717	26
1702215	49.1364	260.858	35
1699917	830.465	77.3149	67
1663795	884.055	14.6473	14
1699083	812.622	311.835	14
1648536	337.255	457.332	105
1688889	589.228	160.522	22
1699932	310.031	89.9091	42
1602238	889.767	333.636	6
1699038	91.3734	213.607	17
1665960	594.355	317.357	16
1688538	171.386	99.2613	33
1701512	678.762	460.293	33
1688022	861.676	307.02	72
1696008	835.954	190.442	0
1670551	390.719	319.642	68
1704429	77.8874	65.5347	5
1669799	887.989	446.348	18
1699914	745.14	399.377	53
1699817	921.222	293.593	71
1705441	78.9688	372.313	35
1694373	778.969	360.785	37
1700939	47.2211	38.2105	9
1697848	469.687	472.679	5
1662817	737.474	364.845	18
1662782	128.918	445.92	12
1698620	750.287	134.421	33
1679400	679.673	494.89	3
1705553	188.937	167.459	12
1690148	339.272	101.439	18
1697416	9.02549	44.4892	18
1695401	108.59	496.806	37
1706940	993.764	150.838	12
1667520	258.219	162.332	75
1690572	81.767	15.0852	143
1688415	277.543	184.303	5
1688616	396.086	395.087	42
1704032	769.73	357.159	18
1679796	619.27	262.79	55
1696735	511.819	312.733	21
1657973	901.308	33.6851	20
1692316	130.938	136.44	0
1683154	615.84	34.961	46
1705810	634.942	380.317	5
1688656	247.297	429.664	36
1702162	812.634	407.097	36
1641899	266.996	116.247	69
1700241	296.146	64.93	35
1704315	190.872	261.699	5
1628643	259.566	226.892	10
1704657	400.069	32.7222	73
1695576	128.06	321.507	5
1669192	981.818	452.407	31
1643030	228.355	339.386	40
1698432	745.528	463.021	79
1690872	199.861	305.284	33
1687673	630.126	35.318	93
1667339	968.412	57.546	5
1689051	296.912	150.09	42
1596424	915.673	390.436	15
1701165	824.047	481.518	69
1705101	944.902	426.591	31
1674753	791.185	126.055	18
1683635	520.036	258.402	73
1683304	16.8269	310.423	5
1674610	633.79	443.99	1
