TreeID	X	Y	SpecID
1816120	468.645	377.281	30
1807112	227.932	228.646	105
1814944	282.141	202.553	156
1768408	666.92	0.992653	26
1804647	857.55	428.623	0
1820206	819.141	320.822	69
1813214	881.27	499.649	12
1780824	295.299	253.688	18
1814619	704.18	236.825	30
1801022	419.651	370.352	131
1804669	115.18	178.679	17
1797236	995.231	91.3327	5
1806650	518.45	299.593	31
1809367	785.218	320.668	59
1809540	223.763	284.685	18
1820213	597.287	437.938	39
1821643	518.173	200.08	31
1745432	382.878	278.356	56
1787746	110.047	112.721	12
1820181	18.4783	34.8357	5
1802955	214.726	191.878	37
1810101	171.953	308.158	128
1819867	12.2761	279.397	21
1821071	126.039	118.456	29
1817005	332.641	125.188	12
1796962	787.673	344.139	1
1819614	574.375	108.766	39
1807844	441.116	348.333	9
1801579	481.992	214.876	5
1799408	352.708	316.848	9
1738495	799.27	453.736	17
1817619	719.552	155.068	5
1808911	882.133	111.092	68
1809235	811.726	137.197	21
1768632	649.059	126.889	37
1823008	959.321	237.028	53
1785198	456.596	379.979	8
1811351	108.236	121.214	106
1740810	83.2537	250.115	105
1801328	61.1651	410.687	6
1821526	724.954	454.031	73
1815942	368.682	411.572	116
1816273	206.227	34.1343	0
1821009	758.205	202.096	5
1822812	590.518	224.297	69
1780862	791.21	132.786	12
1817234	99.4342	68.4405	6
1804369	192.658	380.067	1
1817553	804.189	143.413	234
1820019	728.456	114.915	3
1782374	845.562	87.7316	12
1799955	707.975	109.929	22
1799454	567.439	148.784	35
1820840	348.494	261.303	33
1806868	711.59	378.426	75
1805398	541.544	325.512	8
1797481	395.622	253.721	6
1820108	91.1483	212.522	6
1816860	608.522	12.3452	24
1810172	220.171	318.866	5
1822107	706.656	165.089	202
1816968	555.907	399.683	11
1822936	770.811	41.0641	66
1780317	389.237	74.4731	18
1797962	583.824	386.718	14
1810992	477.507	268.405	5
1790920	439.081	354.868	0
1763584	502.646	415.657	114
1821552	129.171	295.157	37
1821385	159.855	203.173	1
1813265	738.91	398.163	85
1809211	106.059	206.808	35
1748072	139.466	364.033	29
1800730	351.959	36.4807	15
1802964	375.5	344.775	54
1812368	492.897	2.07039	31
1795762	391.146	340.712	15
1805577	314.031	365.981	10
1806080	671.749	134.434	45
1768780	573.675	326.773	12
1822631	773.511	40.9373	33
