TreeID	X	Y	SpecID
1357412	59.2496	398.637	109
1289414	577.361	413.185	8
1280505	557.756	375.809	16
1359184	486.293	96.8606	5
1329072	562.927	443.665	6
1339735	149.939	90.8951	10
1336774	206.831	373.717	0
1325518	561.935	258.432	12
1354677	453.819	280.075	21
1240288	512.358	473.695	23
1358845	446.312	332.555	12
1354099	614.459	63.9429	0
1359181	127.839	10.9905	31
1220044	374.509	321.547	18
1352053	699.285	447.516	0
1348383	559.695	286.838	35
1359231	93.044	178.371	6
1349854	310.888	444.793	5
1355279	939.094	156.877	5
1355658	893.855	166.966	88
1339014	55.2107	287.045	5
1349957	552.472	69.7889	0
1350519	312.416	389.725	10
1353691	891.615	177.826	50
1324887	309.344	138.469	68
1356268	863.878	252.618	27
1359873	78.6921	154.321	49
1332752	477.844	405.481	22
1325532	618.623	194.295	5
1341190	316.106	266.006	35
1339636	802.391	487.186	15
1336209	255.312	26.3138	26
1358370	156.41	45.62	31
1351024	522.683	408.576	5
1350863	261.673	212.37	94
1332409	766.561	187.925	6
1352786	406.739	452.44	5
1345345	308.684	249.499	55
1347133	138.061	95.65	27
1355299	587.281	487.565	5
1353794	420.432	356.967	10
1348812	15.8563	294.165	29
1356721	341.004	41.5509	10
1359943	816.467	59.3467	6
1356073	381.383	238.702	1
1342021	268.345	352.307	36
1341911	594.818	267.157	18
1337292	350.867	337.381	73
1315631	629.293	77.8592	11
1324018	110.514	178.286	55
1333948	229.297	128.645	5
1330678	343.997	479.887	101
1355990	384.117	72.2271	35
1352029	584.239	363.334	31
1346109	801.534	69.7325	54
1356531	551.836	59.701	65
1307254	714.702	14.9301	2
1346916	225.145	12.78	55
1357523	790.381	118.358	25
1349552	740.057	134.368	49
1313822	910.908	64.8037	18
1346683	463.777	470.257	6
1352350	548.274	202.332	31
1344215	912.406	473.978	21
1347446	2.9991	285.074	68
1340335	905.305	476.737	12
1319649	37.571	155.42	55
1346304	44.3137	290.579	21
1357772	859.74	385.205	79
1341801	405.019	318.424	134
1347850	336.463	98.7864	38
1336973	652.161	4.76949	79
1333916	988.426	459.113	0
1294849	348.625	129.662	101
1345976	955.577	242.745	24
1348980	160.547	106.942	5
