TreeID	X	Y	SpecID
1987603	465.131	30.1807	18
1953252	946.631	422.55	14
1955837	789.998	451.631	21
2003603	99.5154	193.961	55
2008898	704.167	307.128	31
1902426	454.654	298.262	12
1952402	318.013	499.494	6
2004518	652.574	370.319	35
1954323	263.417	38.5926	91
2002610	631.384	92.9003	12
1989703	444.683	276.446	0
2003254	668.42	429.623	30
2009220	974.908	230.53	21
1981172	469.859	146.907	5
1985253	391.324	101.342	31
1991013	594.352	44.4951	1
1949408	946.285	363.488	5
1994348	854.492	120.872	37
1980641	131.091	110.84	5
1962800	31.4804	483.035	109
1992819	834.937	242.475	5
1998852	936.189	292.555	5
1956662	967.365	287.067	31
1992707	863.271	158.372	75
1959597	407.316	8.54061	30
2002689	314.275	212.683	29
2008419	292.036	328.628	57
2005781	31.8767	29.3146	15
1991455	612.335	43.4427	11
1996153	957.89	451.022	18
1974049	702.755	190.961	73
1999830	253.666	12.6335	36
2001999	453.161	193.481	0
1973076	161.882	339.993	59
1999307	351.053	107.999	30
2002344	817.603	351.703	17
1982770	927.21	19.8405	31
1939239	397.474	128.159	54
1990020	747.531	287.285	5
1991743	213.785	28.7557	55
1905590	997.513	402.669	57
2007198	165.188	366.079	32
2008122	223.453	398.194	207
1962434	766.176	483.856	33
1987075	181.985	455.202	38
1990264	189.262	126.095	75
1993939	849.492	252.015	31
2000717	704.699	103.58	11
1989648	474.371	139.243	36
1996272	998.968	224.79	234
1989153	879.454	147.795	6
1982087	446.707	387.35	128
1957915	135.377	286.232	40
2005009	463.516	169.336	21
1989823	78.7548	273.422	46
1980352	132.843	435.813	24
2003417	604.756	459.497	31
1965119	983.45	147.999	32
1941274	580.223	170.589	18
2007333	67.5952	418.711	11
1987383	684.511	159.185	37
1994191	717.334	305.135	0
1988977	832.564	270.474	36
1979127	418.785	255.233	5
1999675	199.373	427.305	79
1988061	43.9013	146.395	101
2008750	327.252	433.386	68
1987125	929.461	357.096	39
2007789	650.993	48.8275	140
1988106	103.779	194.51	18
2007875	735.93	405.388	40
2008385	388.759	135.463	1
2005494	62.4341	10.6191	33
2008623	373.633	350.909	37
1991964	762.196	331.513	12
1995844	80.1962	123.504	22
1993777	845.071	28.0278	35
1961434	198.731	492.257	1
1998267	34.0246	138.275	18
1969178	707.523	194.647	8
1977854	182.683	359.455	9
1974816	515.26	357.221	11
1996207	550.716	334.225	109
1999815	228.502	401.887	1
1995806	704.434	155.771	18
1950333	649.56	263.519	5
2005741	571.148	14.2291	14
2006057	96.8433	114.249	39
1975098	814.673	6.00461	42
1991929	723.612	132.194	36
1997747	829.795	353.684	40
1990229	83.048	170.044	4
2000535	454.587	453.521	31
1979920	298.435	348.581	61
1996873	832.346	158.083	18
2001579	291.561	144.064	33
1959911	120.175	208.431	4
1989707	294.388	428.091	6
1982638	401.905	296.706	6
1886547	914.076	371.526	10
1991128	817.606	39.8842	9
1955675	642.483	96.5825	59
1998861	146.4	85.6961	5
1997080	671.132	169.767	36
1988769	199.611	326.335	85
2000680	322.929	66.0415	59
2001565	462.237	490.206	0
1985150	316.756	126.753	15
2003320	276.499	397.057	21
1988509	289.388	55.4849	9
1998775	483.51	120.943	13
2008507	532.734	339.037	17
1990159	530.12	350.213	33
1966086	425.308	87.7261	25
1937958	247.79	334.903	61
1947912	126.985	103.259	18
1992640	799.152	28.7134	5
1953188	431.973	455.841	5
1966161	318.816	265.556	35
1994965	352.826	233.637	4
2008788	983.051	399.641	55
2001526	323.612	471.165	37
1989631	107.33	294.637	61
1978553	312.207	21.2496	42
2007035	935.155	418.425	33
1979674	278.738	48.2928	12
2009110	142.697	460.623	46
1963327	212.005	474.811	5
1994258	811.237	262.721	1
2006034	943.595	214.017	5
2003650	234.158	236.557	54
2008540	180.149	442.805	5
1999116	581.706	460.054	21
1998683	955.368	176.66	12
2001873	150.905	350.115	31
2001710	129.769	421.341	55
1996630	62.0986	239.44	5
2008374	98.1233	358.484	8
1974559	145.749	57.1909	63
2005935	457.101	244.586	59
2008992	303.457	335.01	31
1985497	252.196	166.33	108
1980156	563.767	356.25	14
1965420	958.728	375.417	1
2008739	289.963	159.331	12
1997411	155.513	221.122	45
1964155	123.384	238.34	10
2003612	383.208	264.707	8
1966259	473.428	75.9399	35
1991099	267.604	293.796	5
1889779	707.05	77.8505	17
2004284	973.948	478.651	13
2007665	860.547	12.3843	1
2002121	628.815	477.919	5
1961530	866.914	273.179	31
1980010	765.172	368.416	5
1971272	127.61	225.181	192
1952580	352.016	446.214	10
1972823	48.579	24.1687	20
2000060	921.538	187.178	30
1984172	141.552	125.469	37
1944683	995.964	205.587	69
1980874	917.889	497.089	37
1982254	185.39	198.21	5
1988513	79.3572	54.8068	23
2008757	431.4	173.167	22
1982119	419.011	228.074	20
2008823	406.128	84.312	59
1993769	478.622	453.704	57
1980291	98.6694	485.535	2
1983257	818.139	439.812	31
1997784	328.499	220.704	27
1998480	666.765	17.9265	73
